payment_id,customer_id,amount_inr,currency,payment_method,payment_status,failure_reason,previous_successes,previous_failures,retry_count,customer_ltv_inr,subscription_status,recovered,outcome
pay_000001,cust_37053,1020.37,INR,upi,failed,card_expired,8,3,1,12850.71,halted,0,failed_unrecovered
pay_000002,cust_12028,12355.05,INR,wallet,failed,card_expired,5,1,0,116053.32,active,0,failed_unrecovered
pay_000003,cust_79565,8059.87,INR,card,failed,insufficient_balance,6,0,1,71481.15,active,0,failed_unrecovered
pay_000004,cust_44986,3475.12,INR,card,failed,bank_declined,6,3,1,27408.95,pending,0,failed_unrecovered
pay_000005,cust_63065,1321.83,INR,upi,failed,bank_declined,6,2,0,9815.12,pending,0,failed_unrecovered
pay_000006,cust_52157,5303.43,INR,upi,failed,authentication_failure,5,0,1,35462.91,halted,0,failed_unrecovered
pay_000007,cust_34644,649.0,INR,upi,failed,insufficient_balance,7,2,2,6339.78,none,0,failed_unrecovered
pay_000008,cust_17795,4743.16,INR,netbanking,failed,network_timeout,8,2,0,56283.68,active,0,failed_unrecovered
pay_000009,cust_18200,4149.4,INR,card,failed,network_timeout,4,2,0,23597.68,halted,1,failed_recovered
pay_000010,cust_59833,1570.79,INR,card,failed,network_timeout,7,0,0,16855.66,active,1,failed_recovered
pay_000011,cust_50245,5018.11,INR,upi,failed,authentication_failure,2,1,0,21169.19,pending,0,failed_unrecovered
pay_000012,cust_68581,1203.56,INR,wallet,failed,network_timeout,7,0,1,12641.51,active,1,failed_recovered
pay_000013,cust_47925,576.49,INR,netbanking,failed,unknown,6,0,0,5156.63,active,0,failed_unrecovered
pay_000014,cust_57827,4340.35,INR,upi,failed,card_expired,5,2,4,41197.72,active,0,failed_unrecovered
pay_000015,cust_27198,1667.07,INR,upi,failed,bank_declined,5,0,1,16167.83,active,0,failed_unrecovered
pay_000016,cust_32196,3093.77,INR,upi,failed,insufficient_balance,1,1,0,10951.76,none,0,failed_unrecovered
pay_000017,cust_63705,9268.16,INR,upi,failed,insufficient_balance,4,1,2,60038.3,halted,1,failed_recovered
pay_000018,cust_85402,939.66,INR,card,failed,insufficient_balance,7,0,0,9820.99,none,0,failed_unrecovered
pay_000019,cust_76444,1582.09,INR,card,failed,insufficient_balance,3,1,0,8184.17,pending,1,failed_recovered
pay_000020,cust_30139,7392.44,INR,upi,failed,card_expired,9,1,0,91245.87,active,1,failed_recovered
pay_000021,cust_40085,3285.92,INR,card,failed,insufficient_balance,6,1,1,28412.47,active,1,failed_recovered
pay_000022,cust_52768,958.85,INR,upi,failed,insufficient_balance,7,1,0,9498.49,active,0,failed_unrecovered
pay_000023,cust_91415,762.06,INR,upi,failed,unknown,4,0,1,6221.74,active,0,failed_unrecovered
pay_000024,cust_22442,1119.09,INR,upi,failed,insufficient_balance,4,2,0,6090.91,pending,0,failed_unrecovered
pay_000025,cust_10206,926.09,INR,card,failed,network_timeout,3,1,0,4255.36,pending,0,failed_unrecovered
pay_000026,cust_33249,2228.66,INR,card,failed,insufficient_balance,6,0,1,16624.42,pending,1,failed_recovered
pay_000027,cust_22497,1931.66,INR,upi,failed,unknown,2,2,1,10599.53,active,0,failed_unrecovered
pay_000028,cust_19567,2314.28,INR,card,failed,authentication_failure,7,0,1,26546.06,active,0,failed_unrecovered
pay_000029,cust_23330,844.56,INR,card,failed,network_timeout,5,3,2,8114.53,active,0,failed_unrecovered
pay_000030,cust_52375,1688.83,INR,upi,failed,network_timeout,1,0,1,6911.6,active,1,failed_recovered
pay_000031,cust_27631,282.99,INR,card,failed,insufficient_balance,8,1,3,3280.83,halted,0,failed_unrecovered
pay_000032,cust_19630,2050.93,INR,upi,failed,unknown,7,1,1,22071.03,active,0,failed_unrecovered
pay_000033,cust_77634,5184.55,INR,upi,failed,authentication_failure,1,0,3,19929.26,halted,0,failed_unrecovered
pay_000034,cust_43345,499.33,INR,wallet,failed,authentication_failure,2,0,3,2800.87,pending,0,failed_unrecovered
pay_000035,cust_90933,2781.17,INR,wallet,failed,network_timeout,3,2,0,15060.65,active,1,failed_recovered
pay_000036,cust_65479,1038.6,INR,netbanking,failed,card_expired,7,1,1,10915.44,none,0,failed_unrecovered
pay_000037,cust_28682,3706.31,INR,upi,failed,authentication_failure,4,1,1,25889.46,pending,0,failed_unrecovered
pay_000038,cust_57725,2076.26,INR,upi,failed,card_expired,2,2,2,7564.89,active,1,failed_recovered
pay_000039,cust_52339,2590.94,INR,card,failed,bank_declined,6,1,0,26893.96,none,0,failed_unrecovered
pay_000040,cust_23973,1908.14,INR,card,failed,insufficient_balance,2,2,0,7753.79,active,0,failed_unrecovered
pay_000041,cust_87034,5949.37,INR,upi,failed,unknown,7,3,0,50077.74,active,1,failed_recovered
pay_000042,cust_25373,2460.73,INR,card,failed,insufficient_balance,3,0,2,18020.09,halted,1,failed_recovered
pay_000043,cust_85523,954.0,INR,upi,failed,insufficient_balance,4,2,0,8070.04,halted,0,failed_unrecovered
pay_000044,cust_58936,1967.24,INR,netbanking,failed,bank_declined,6,1,3,14149.53,active,1,failed_recovered
pay_000045,cust_76037,1291.49,INR,upi,failed,network_timeout,4,1,1,11298.94,active,0,failed_unrecovered
pay_000046,cust_88398,2083.29,INR,card,failed,bank_declined,6,3,0,15166.98,none,0,failed_unrecovered
pay_000047,cust_56317,1233.67,INR,upi,failed,insufficient_balance,5,2,2,8432.3,active,0,failed_unrecovered
pay_000048,cust_23668,978.88,INR,card,failed,insufficient_balance,5,1,2,5897.96,active,0,failed_unrecovered
pay_000049,cust_52118,2153.58,INR,card,failed,network_timeout,5,1,0,13047.59,pending,1,failed_recovered
pay_000050,cust_94390,1892.69,INR,upi,failed,unknown,7,3,1,15784.57,none,1,failed_recovered
pay_000051,cust_15562,4689.6,INR,wallet,failed,authentication_failure,6,1,0,49436.22,active,1,failed_recovered
pay_000052,cust_76967,1239.03,INR,card,failed,bank_declined,4,2,0,6478.22,halted,0,failed_unrecovered
pay_000053,cust_16413,302.71,INR,wallet,failed,unknown,5,0,1,2718.18,pending,0,failed_unrecovered
pay_000054,cust_51127,1297.32,INR,netbanking,failed,card_expired,6,0,0,12044.45,pending,0,failed_unrecovered
pay_000055,cust_36240,416.44,INR,card,failed,bank_declined,3,3,0,2977.75,halted,1,failed_recovered
pay_000056,cust_94265,2616.64,INR,wallet,failed,bank_declined,6,1,1,27027.95,none,1,failed_recovered
pay_000057,cust_84990,399.03,INR,upi,failed,bank_declined,10,4,3,5063.49,active,0,failed_unrecovered
pay_000058,cust_72178,739.52,INR,upi,failed,authentication_failure,5,1,0,4887.59,active,0,failed_unrecovered
pay_000059,cust_56827,1299.12,INR,upi,failed,bank_declined,8,0,3,11699.78,none,0,failed_unrecovered
pay_000060,cust_35267,7223.52,INR,upi,failed,card_expired,6,1,3,76232.8,pending,0,failed_unrecovered
pay_000061,cust_89472,685.36,INR,upi,failed,card_expired,5,0,1,5604.73,pending,0,failed_unrecovered
pay_000062,cust_84339,1820.21,INR,upi,failed,insufficient_balance,5,1,0,14663.8,pending,0,failed_unrecovered
